id,name,title,category,socialLink,featured,slug,story,publishedDate,imageUrl
1,Didiet Rasmana,Owner Toko Buku Singosari,Entrepreneur,https://instagram.com,TRUE,didiet-rasmana,"Didiet Rasmana membangun Toko Buku Singosari dari nol, menjadikannya ruang literasi yang hidup di tengah komunitas. Dengan dedikasi tinggi, ia membuktikan bahwa bisnis buku masih relevan di era digital. Toko ini bukan sekadar tempat jual beli, melainkan pusat diskusi dan pertukaran ide bagi warga sekitar.",2025-01-15,
2,Yanti Dhaniaty,Owner Sambel Shamila,Entrepreneur,https://instagram.com,TRUE,yanti-dhaniaty,"Yanti Dhaniaty mengubah resep sambal warisan keluarga menjadi brand Sambel Shamila yang dikenal luas. Perjalanannya dimulai dari dapur rumah, kini produknya menjangkau berbagai kota. Ia membuktikan bahwa ketekunan dan cinta terhadap kuliner lokal bisa menjadi fondasi bisnis yang berkelanjutan.",2025-02-10,
3,Firman,Pengelola Warung Gratis Azzahra,Social Leader,https://instagram.com,TRUE,firman,"Firman mendirikan Warung Gratis Azzahra sebagai wujud kepeduliannya terhadap sesama. Setiap hari, warung ini menyajikan makanan gratis bagi siapa saja yang membutuhkan. Gerakan ini menginspirasi banyak orang untuk turut berbagi dan membangun solidaritas sosial di lingkungan sekitar.",2025-03-05,
4,Eko,Walking Enthusiast,Social Leader,https://instagram.com,TRUE,eko,"Eko mengajak masyarakat untuk kembali menghargai aktivitas berjalan kaki sebagai gaya hidup sehat dan ramah lingkungan. Melalui komunitas jalan kakinya, ia membangun koneksi antarwarga sambil mempromosikan kesehatan fisik dan mental. Langkah kecilnya membawa dampak besar bagi komunitasnya.",2025-03-20,
5,Pak Bekti,Empu Pisau Batu,Entrepreneur,https://instagram.com,TRUE,pak-bekti,"Pak Bekti adalah maestro pembuat pisau batu yang melestarikan tradisi kerajinan nenek moyang. Setiap pisau yang dibuatnya adalah karya seni yang menggabungkan teknik kuno dengan kebutuhan modern. Dedikasinya menjaga warisan budaya ini menjadikannya sosok yang dihormati di kalangan pengrajin tradisional.",2025-04-01,
6,Jahfal & Kalis,Owner Cungkup Batik and Craft,Entrepreneur,https://instagram.com,TRUE,jahfal-kalis,"Jahfal dan Kalis bersama-sama membangun Cungkup Batik and Craft, sebuah usaha yang mengangkat batik lokal ke panggung yang lebih luas. Mereka menggabungkan motif tradisional dengan desain kontemporer, menciptakan produk yang diminati generasi muda tanpa kehilangan esensi budayanya.",2025-04-15,
7,Itus Ariyadi,Community Builder,Social Leader,https://instagram.com,FALSE,itus-ariyadi,"Itus Ariyadi dikenal sebagai pembangun komunitas yang aktif menghubungkan berbagai elemen masyarakat. Melalui berbagai program sosial, ia menciptakan ruang kolaborasi yang inklusif dan berdampak nyata bagi lingkungan sekitarnya.",2025-05-01,
8,Rian,Creative Educator,Educator,https://instagram.com,FALSE,rian,"Rian membawa pendekatan kreatif dalam dunia pendidikan, menjadikan proses belajar lebih menarik dan bermakna bagi para muridnya.",2025-05-10,
9,Kenny,Youth Mentor,Educator,https://instagram.com,FALSE,kenny,"Kenny mendedikasikan waktunya untuk membimbing generasi muda, membantu mereka menemukan potensi terbaik dan arah hidup yang bermakna.",2025-05-15,
10,Sari Wulandari,Social Activist,Social Leader,https://instagram.com,FALSE,sari-wulandari,"Sari Wulandari adalah aktivis sosial yang gigih memperjuangkan keadilan dan kesejahteraan masyarakat marjinal.",2025-05-20,
11,Bambang Susilo,Local Artisan,Entrepreneur,https://instagram.com,FALSE,bambang-susilo,"Bambang Susilo mengangkat kerajinan lokal menjadi produk bernilai tinggi yang diapresiasi pasar nasional.",2025-06-01,
12,Dewi Lestari,Cultural Preservationist,Educator,https://instagram.com,FALSE,dewi-lestari,"Dewi Lestari berkomitmen melestarikan budaya lokal melalui pendidikan dan dokumentasi tradisi yang hampir punah.",2025-06-10,
13,Andi Pratama,Tech Innovator,Entrepreneur,https://instagram.com,FALSE,andi-pratama,"Andi Pratama memanfaatkan teknologi untuk menciptakan solusi inovatif bagi permasalahan di komunitasnya.",2025-06-15,
14,Nadia Putri,Women Empowerment Advocate,Social Leader,https://instagram.com,FALSE,nadia-putri,"Nadia Putri aktif memperjuangkan pemberdayaan perempuan melalui pelatihan keterampilan dan pendampingan usaha.",2025-06-20,
15,Hendra Wijaya,Environmental Champion,Social Leader,https://instagram.com,FALSE,hendra-wijaya,"Hendra Wijaya memimpin gerakan lingkungan yang mengajak masyarakat untuk hidup lebih berkelanjutan.",2025-07-01,
16,Lina Marlina,Traditional Craft Teacher,Educator,https://instagram.com,FALSE,lina-marlina,"Lina Marlina mengajarkan kerajinan tradisional kepada generasi muda agar warisan budaya tetap lestari.",2025-07-10,
17,Agus Setiawan,Rural Entrepreneur,Entrepreneur,https://instagram.com,FALSE,agus-setiawan,"Agus Setiawan membuktikan bahwa pedesaan bisa menjadi pusat inovasi bisnis yang kompetitif.",2025-07-15,
18,Ratna Sari,Literacy Advocate,Educator,https://instagram.com,FALSE,ratna-sari,"Ratna Sari mendorong budaya literasi di kalangan anak-anak melalui perpustakaan keliling dan program baca.",2025-07-20,
19,Fajar Nugroho,Community Health Worker,Social Leader,https://instagram.com,FALSE,fajar-nugroho,"Fajar Nugroho bekerja tanpa lelah untuk meningkatkan akses kesehatan bagi masyarakat di daerah terpencil.",2025-08-01,
20,Maya Indah,Heritage Storyteller,Educator,https://instagram.com,FALSE,maya-indah,"Maya Indah melestarikan cerita rakyat dan warisan budaya melalui narasi yang menarik dan edukatif.",2025-08-10,
